OBA,0.089018956,0.74339116
XYD,0.5846937,0.8101617
XKL,-0.14076291,0.43028426
YQW,-0.22763585,0.039450068
TOY,-0.20924333,0.35083663
GXK,-0.5887984,0.010714814
PTB,-0.13467659,0.042702224
UOS,-0.4293135,0.7543824
ZFC,1.0342301,-0.059626076
UTG,0.34120792,-0.22564018
VGG,0.06594237,-0.0013481159
KOP,-0.555453,-0.3067499
LPC,1.1486307,-0.00027321072
JLG,1.0951307,-0.04042594
ULU,0.7233064,0.1093695
LXW,0.4394946,0.03786187
HBY,0.38202584,-0.09496114
IYX,0.2994889,-0.08800672
PFP,0.38286853,0.0070905224
ZHN,0.21241514,0.024861293
GOL,0.9555786,0.21300496
HSR,-0.12443334,-0.45240766
MGC,0.7654653,0.04270375
YOP,-0.3963813,-0.331299
QES,0.123127595,-0.027976945
TZN,-0.092118405,-0.2127849
KDR,0.11821568,-0.12615097
BJH,0.24657586,-0.09995715
HXO,0.79404515,0.28334275
ZBG,0.47708118,-0.033348747
RUC,0.72748154,0.020225469
MWN,1.0436705,0.20470639
UNS,0.11630945,-0.22616453
LZG,0.1370501,-0.03870343
VOA,-0.72454375,-0.05753219
CSF,-0.47238448,0.73437655
WCH,-0.611291,0.9392077
IEZ,-0.680049,0.7833912
PNH,-0.5856896,0.89557326
CTT,-0.3678228,0.72630477
PVA,-0.62310696,-0.053076215
YOI,-0.4843732,-0.0682058
OPX,-0.2604068,0.38523605
OFL,-0.4747522,0.9160541
KWA,0.22662453,0.49229118
SEO,0.022200953,0.68605566
MDD,-0.42513102,0.0018020568
UYA,0.14301708,0.13547303
UGH,-0.43785724,0.33348486
STM,-0.09977347,0.08146357
XXL,-0.5353156,-0.1717278
IKN,0.028619528,0.7582544
YGH,0.4543393,0.33172694
QSM,0.49056143,-0.05605338
BFD,-0.30063906,-0.29614466
XMP,0.952658,-0.031971607
ZZG,-0.6324159,-0.18118683
GRR,0.59408706,0.2165559
BCQ,0.20107992,-0.099043846
DTB,-0.14730641,-0.36786506
STF,-0.122328684,-0.56229335
GRO,0.33001378,0.08948797
ZOY,-0.72440356,-0.08475569
CYI,-0.08108695,-0.2995045
LCC,-0.4288682,-0.18175447
JIC,-0.6329683,-0.20389327
HAF,-0.40714693,-0.4206911
SWE,-0.32882586,-0.5883968
TLT,-0.69896144,-0.19881372
UXQ,-0.459376,-0.25060984
KRN,-0.0477771,-0.37156758
ADL,-0.56531614,-0.30596578
RSD,0.07256348,-0.68394876
MNR,0.56591225,-0.012154664
EMK,0.56825846,0.365471
BHW,0.51029456,0.22377548
XEN,0.41485855,0.47967225
ZBL,0.8585915,0.25275025
OPG,0.52636796,-0.1515738
UDP,0.8837073,0.2618457
NUJ,-0.22181332,-0.14653541
XMX,1.0032345,-0.2897639
NLM,1.255991,0.04424973
LKX,1.2173604,0.016278544
TEU,1.2525685,0.054812644
UNF,0.39909175,0.3241951
SPQ,0.62857264,0.15673198
NZX,0.29926,-0.6672948
EMF,-0.26338822,-0.29461807
VRJ,-0.2294337,-0.6058232
MAB,-0.06106237,-0.44098222
QQM,0.81257904,0.11342882
TGU,0.19682854,-0.39926237
LMH,-0.13730001,-0.28162724
MEH,0.8032729,-0.060179874
JHZ,-0.38971803,-0.2528677
DUO,-0.40817562,-0.22571056
JTA,0.37030333,-0.118022494
YXB,0.6671944,0.10235901
PSK,0.19572248,-0.4170281
FLP,0.11740047,-0.41795367
EST,0.84712714,-0.1722129
GGG,-0.3750806,-0.34150773
FKB,-0.037863366,-0.27221382
SIE,-0.32458282,-0.3899986
IIO,-0.10439686,-0.45259365
RJI,0.22941016,-0.4393534
VWR,-0.39025056,-0.4177983
FKM,0.5356998,-0.028991332
KLS,-0.02280495,-0.49591205
NGL,1.0410944,-0.33574304
LMV,0.53316003,0.072355494
FCD,0.45187694,0.39397871
LIM,1.023044,0.35708988
ROO,1.2069001,0.089485034
RUT,1.1768655,0.21540606
EIS,1.0128735,0.13072094
PLK,0.9934939,0.41228205
QIQ,0.3051801,0.51725084
KHQ,0.048077993,-0.13792947
VUO,1.220219,-0.013347328
RMP,1.1146129,0.08243399
INC,0.96910936,0.3706436
ZEW,-0.17163377,-0.03721198
QFO,-0.16302337,0.028813237
TDI,-0.40435177,-0.24536452
JWQ,-0.3961172,-0.21754809
MAV,-0.21220814,-0.19513032
WCQ,-0.1574995,-0.22042418
GYM,0.29860878,-0.015051977
STR,0.22661915,-0.00011974292
TUD,0.11316962,-0.112500004
PKP,0.54527736,0.1593151
QTV,0.7118711,0.2339103
GLI,0.6582134,-0.06248367
RVX,0.33754805,-0.029617
ASY,0.37790155,-0.07473918
IJD,0.2109171,-0.058712427
GMU,0.69965607,0.2965114
QZH,-0.48363292,-0.20165247
XFN,0.79762655,0.09376635
QBM,-0.26154265,-0.23173489
LMM,0.33868578,-0.0552171
YPH,0.21486004,-0.33336926
OLM,-0.08296653,-0.31464088
GZB,0.35517216,-0.08691631
ETK,0.19224252,0.01556538
GSC,0.086276926,-0.18641502
BGB,0.4326443,0.07493462
SQP,0.795575,0.28027523
ZWN,-0.04972838,-0.13167983
DIL,-0.18567683,-0.27733266
XOU,-0.05818438,-0.18959735
