SubjectCode,Triplet,Rep,RedJade Code A,roleA,RedJade Code B,roleB,Roles,Perceptual Distance,Structural Distance
P6,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,68.82864665,0.8809523809523809
P6,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,58.3395869,0.8529411764705882
P6,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,44.35182973,0.5625
P6,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,56.71990303,0.8809523809523809
P9,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,65.11295186,0.8529411764705882
P9,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,30.84533838,0.5625
P9,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,34.29578691,0.8809523809523809
P9,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,22.15845662,0.8529411764705882
P9,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,25.49829798,0.5625
P9,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,27.22661198,0.8809523809523809
P1,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,22.14443497,0.9411764705882352
P1,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,35.38614418,0.5714285714285714
P1,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,13.2438665,0.9473684210526316
P1,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,9.43847975,0.9411764705882352
P1,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,23.28912622,0.5714285714285714
P1,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,17.28161161,0.9473684210526316
P10,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,13.48037091,0.9411764705882352
P10,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,38.58807717,0.5714285714285714
P10,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,37.64103745,0.9473684210526316
P10,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,14.89592226,0.9411764705882352
P10,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,30.9286744,0.5714285714285714
P10,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,26.6004812,0.9473684210526316
P11,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,55.88937645,0.9411764705882352
P11,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,28.73731546,0.5714285714285714
P11,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,27.25220908,0.9473684210526316
P11,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,61.30457079,0.9411764705882352
P11,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,37.66293934,0.5714285714285714
P11,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,24.59870322,0.9473684210526316
P13,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,81.5664073,0.9411764705882352
P13,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,86.31769807,0.5714285714285714
P13,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,63.10271785,0.9473684210526316
P14,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,83.86963038,0.9411764705882352
P14,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,84.88362504,0.5714285714285714
P14,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,33.73452979,0.9473684210526316
P14,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,122.4551673,0.9411764705882352
P14,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,103.8342381,0.5714285714285714
